-224,208
-208,208
-192,208
-176,208
-160,208
-144,208
-128,208
-112,208
-112,192
-128,192
-144,192
-160,192
-176,192
-192,192
-208,192
-224,192
-224,176
-224,160
-224,144
-208,144
-192,144
-192,160
-192,176
-192,128
-208,128
-224,128
-224,112
-224,96
-224,80
-224,64
-224,48
-224,32
-224,16
-224,0
-224,-16
-224,-32
-224,-48
-224,-64
-208,-64
-208,-48
-208,-32
-208,-16
-208,32
-208,48
-208,64
-208,112
-192,112
-192,96
-192,80
-192,64
-192,49
-192,33
-192,18
-192,3
-192,-16
-192,-32
-192,-47
-192,-63
-192,-80
-192,-96
-192,-112
-208,-112
-224,-112
-224,-112
-224,-128
-208,-128
-193,-128
-176,-128
-176,-112
-176,-96
-176,-80
-160,-96
-160,-112
-160,-128
-144,-128
-144,-112
-144,-96
-144,-80
-144,-64
-144,-48
-144,-32
-160,-32
-160,-16
-144,-16
-128,-16
-112,-16
-112,-32
-128,-32
-128,0
-144,0
-160,0
-112,0
-112,-16
-112,0
-128,0
-144,0
-160,0
-160,-16
-144,-16
-128,-16
-113,-16
-112,-80
-96,-80
-96,-96
-112,-96
-128,-96
-128,-112
-112,-112
-96,-112
-96,-128
-112,-128
-128,-128
-128,-144
-112,-144
-96,-144
-96,-159
-112,-160
-128,-160
-128,-176
-112,-176
-96,-176
-96,-192
-112,-192
-128,-192
-144,-192
-160,-192
-175,-192
-192,-192
-208,-192
-224,-192
-224,-208
-224,-224
-208,-224
-194,-224
-178,-224
-163,-224
-144,-224
-128,-224
-112,-224
-96,-224
-80,-224
-64,-224
-48,-224
-32,-224
-16,-224
0,-224
16,-224
16,-208
16,-192
0,-192
-16,-192
-32,-192
-48,-192
-64,-192
-64,-208
-48,-208
-32,-208
-16,-208
0,-208
-80,-208
-96,-208
-112,-208
-125,-208
-144,-208
-160,-208
-176,-208
-192,-208
-208,-208
-80,-112
-80,-128
-64,-128
-64,-112
-48,-112
-48,-128
-32,-128
-16,-128
-16,-112
0,-112
0,-128
16,-128
32,-128
32,-112
48,-112
48,-128
48,-144
64,-144
64,-128
64,-112
80,-112
80,-128
80,-144
96,-144
96,-160
96,-176
96,-192
96,-208
80,-208
64,-208
48,-208
48,-224
64,-224
80,-224
96,-224
112,-224
128,-224
144,-224
160,-224
176,-224
192,-224
208,-224
224,-224
240,-224
240,-208
224,-208
208,-208
192,-208
176,-208
160,-208
144,-208
112,-208
112,-192
112,-176
112,-160
112,-144
112,-128
98,-128
96,-112
112,-112
128,-112
128,-128
128,-144
144,-144
160,-144
176,-144
176,-128
160,-128
145,-128
144,-113
160,-112
176,-112
176,-16
176,-32
176,-48
176,-64
176,-80
176,-96
160,-96
160,-80
144,-80
144,-96
128,-96
112,-96
96,-96
80,-96
80,-80
112,-80
112,-64
112,-48
112,-32
96,-32
96,-16
96,0
112,0
112,-16
128,-16
128,-32
144,-32
144,-16
144,0
128,0
192,-48
192,-64
208,-64
208,-48
224,-48
224,-64
224,-79
224,-96
224,-111
224,-128
224,-144
208,-144
208,-160
224,-160
224,-176
208,-176
208,-192
224,-192
240,-192
240,-177
240,-160
240,-147
240,-128
240,-112
240,-99
240,-81
240,-64
240,-48
240,-32
224,-32
224,-16
240,-16
240,0
224,0
208,0
208,16
224,16
240,16
240,32
224,32
208,32
192,32
176,32
160,32
144,32
128,32
113,32
96,32
80,32
80,48
64,48
48,48
32,48
16,48
16,64
32,64
48,64
64,64
80,64
96,64
96,48
112,48
128,48
144,48
160,48
176,48
192,48
208,48
208,64
208,80
224,80
240,80
240,96
224,96
192,96
192,80
192,64
176,64
161,64
145,64
128,64
112,64
112,80
112,96
128,96
128,80
144,80
144,96
160,96
160,80
176,80
192,112
192,128
192,144
208,144
224,144
239,144
240,159
224,160
211,160
192,160
176,160
176,144
160,144
160,160
160,176
176,176
192,176
207,176
224,176
240,176
144,176
144,160
144,144
128,144
128,159
128,176
112,176
112,160
112,144
96,144
96,160
96,176
80,176
80,192
80,208
64,208
64,192
64,176
64,160
64,144
64,128
64,112
80,112
80,128
80,144
80,160
48,208
35,208
18,208
1,208
-16,208
-32,208
-48,208
-64,208
-80,208
-80,192
-80,176
-80,160
-80,144
-80,128
-80,112
-64,112
-48,112
-37,112
-20,112
-2,112
16,112
32,112
48,112
48,128
48,144
48,160
48,176
48,192
32,192
16,192
0,192
-16,192
-32,192
-48,192
-64,192
-64,176
-64,160
-64,144
-64,128
-48,128
-32,128
-16,128
0,128
16,128
32,128
32,144
32,160
32,176
16,176
0,176
-16,176
-32,176
-48,176
-48,160
-48,144
-32,144
-16,144
0,144
16,144
16,160
0,160
-16,160
-32,160
-96,128
-112,128
-128,128
-144,128
-160,128
-160,112
-144,112
-128,112
-112,112
-96,112
-128,144
-128,160
-128,176
-176,48
-176,32
0,48
0,62
-16,48
-32,48
-46,48
-62,48
-80,48
-96,48
-112,48
-112,32
-96,32
-144,32
-144,48
-128,48
-128,32
-160,32
-160,48
-176,64
-16,-96
0,-96
0,-81
-16,-80
-16,-64
0,-64
0,-48
16,-48
32,-48
16,-32
0,-32
-16,-32
-16,-47
-32,-48
-48,-48
-32,-32
-32,-16
-16,-16
-1,-16
16,-16
0,0
-16,0
16,0
-48,0
-32,0
-64,0
-64,-16
32,0
48,0
48,-16
